                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220414"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              surface_he3                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                                 delta_nu                                   nu_max                        v_div_csound_surf                              num_retries 
                                       1                  1.0000000000000001E-005                  2.2000000000000002E+000                 -4.9999999999999991E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1227                  0.0000000000000000E+000                  9.9999999444449961E-001                  2.9787433725142237E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999444449961E-001                  2.9787433725142237E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4694159872847736E+000                 -9.8999999999999986E+001                 -2.2878279670462568E+001                 -7.4694159872847736E+000                  3.7235940715890106E+000                  3.0900446589386355E+001                  1.4899647561207769E+000                  8.2044739574686443E-001                  3.1395955166316103E+000                  1.3790992320436815E+003                  6.4064190497539730E+000                 -1.1681086000681005E+000                  1.3370664630094508E+001                  4.1898313116007120E-002                  6.1393909360912613E-001                  8.5660496627254179E-001                  1.2761332566166079E+000                  7.1320000000000006E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508020E-003                  7.1320000000000050E-001                  2.7997020236474890E-001                  1.1719403426672776E-003                  3.1893793993508024E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251138611E-005                  3.4351653191742193E-004                  7.0890830411750316E-004                  1.3862554219469137E-003                 -7.4694159872847745E+000                 -2.2620061146306586E+001                 -9.8999999999999986E+001                  1.1992604467536550E+001                  1.6290849484629095E+002                 -5.7545079540475808E-001                                        0 
                                       5                  3.1000000000000000E-004                  2.2000000000000002E+000                 -3.7958800173440750E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9951534551608681E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9951534551608681E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4694159832887586E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4694159832887586E+000                  3.7236434608719620E+000                  3.0914155718147903E+001                  1.4901573901861338E+000                  8.2044493421363951E-001                  3.1396004396980604E+000                  1.3791148652969807E+003                  6.4064190501018388E+000                 -1.1681085989627054E+000                  1.3370664631547513E+001                  4.1898313117994385E-002                  6.1393909360905241E-001                  8.5660496627254179E-001                  1.2761332566166079E+000                  7.1320000000000006E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508020E-003                  7.1319999999999995E-001                  2.7997020236474890E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251138601E-005                  3.4351653191742171E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.4694159832887586E+000                 -2.2620061133266713E+001                 -9.8999999999999986E+001                  1.1992539712299580E+001                  1.6290107848632027E+002                 -7.0979066982504240E-004                                        0 
                                      10                  1.0230000000000001E-002                  2.2000000000000002E+000                 -2.2907300390241692E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9794634917999403E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9794634917999403E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4694158441926879E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4694158441926879E+000                  3.7232465089042992E+000                  3.0800025796992099E+001                  1.4885510802500099E+000                  8.2043568318090365E-001                  3.1396189417635321E+000                  1.3791736204001088E+003                  6.4064190622821551E+000                 -1.1681085613736673E+000                  1.3370664681314560E+001                  4.1898313151698889E-002                  6.1393909360641841E-001                  8.5660496627254179E-001                  1.2761332566166079E+000                  7.1320000000000006E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508020E-003                  7.1319999999999995E-001                  2.7997020236474890E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251138601E-005                  3.4351653191742171E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.4694158441926888E+000                 -2.2620060677924730E+001                 -9.8999999999999986E+001                  1.1993892841146735E+001                  1.6298248589716172E+002                 -6.4457473858937589E-006                                        0 
                                      15                  3.2767000000000002E-001                  2.2000000000000002E+000                 -7.8558006070426323E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9741490437292201E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9741490437292201E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4694112118509581E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4694112118509581E+000                  3.7232403910299761E+000                  3.0798102969319697E+001                  1.4885239666520884E+000                  8.2043436213058873E-001                  3.1396215838641619E+000                  1.3791820108511210E+003                  6.4064194728469479E+000                 -1.1681073266849542E+000                  1.3370666326685038E+001                  4.1898313247991099E-002                  6.1393909351605114E-001                  8.5660496627254179E-001                  1.2761332566166079E+000                  7.1320000000000006E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508020E-003                  7.1319999999999995E-001                  2.7997020236474890E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251138601E-005                  3.4351653191742171E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.4694112118509581E+000                 -2.2620045399427319E+001                 -9.8999999999999986E+001                  1.1993973619454358E+001                  1.6298462540260991E+002                 -7.3288051909227004E-008                                        0 
                                      20                  1.0485750000000001E+001                  2.2000000000000002E+000                  7.1956991761564271E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9327491518934545E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.9327491518934545E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4692618365892773E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.4692618365892773E+000                  3.7232413796812027E+000                  3.0796424172305503E+001                  1.4885002927215132E+000                  8.2042054786284824E-001                  3.1396492123996427E+000                  1.3792697531384213E+003                  6.4064331290055128E+000                 -1.1680670240101878E+000                  1.3370720294019959E+001                  4.1898291837074643E-002                  6.1393909047282136E-001                  8.5660496627254179E-001                  1.2761332566166079E+000                  7.1320000000000006E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508020E-003                  7.1319999999999995E-001                  2.7997020236474890E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251141308E-005                  3.4351653191742171E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.4692618365892773E+000                 -2.2619543049088101E+001                 -9.8999999999999986E+001                  1.1994547757355633E+001                  1.6299480880896905E+002                 -6.0650119831821677E-008                                        0 
                                      25                  3.3554431000000000E+002                  2.2000000000000002E+000                  2.2247198959355483E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.7334205629631701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.7334205629631701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.4644938706217019E+000                 -9.8999999999999986E+001                 -2.2878279670462568E+001                 -7.4644938706217019E+000                  3.7232735520673192E+000                  3.0743186570374270E+001                  1.4877488806720298E+000                  8.1998049706587439E-001                  3.1405293139935906E+000                  1.3820676895090949E+003                  6.4068698980550272E+000                 -1.1667783637718003E+000                  1.3372445997382423E+001                  4.1897595718762864E-002                  6.1393899315707023E-001                  8.5660496627254135E-001                  1.2761332566166104E+000                  7.1319999999999784E-001                  2.7997020236474884E-001                  1.1719403426672772E-003                  3.1893793993508007E-003                  7.1319999999999972E-001                  2.7997020236474879E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999989E+000                  6.1593444520244767E-001                  2.9797635251236691E-005                  3.4351653191742166E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.4644938706217028E+000                 -2.2603519116017861E+001                 -9.8999999999999986E+001                  1.2012849789796542E+001                  1.6331940470502641E+002                 -6.0410717395420619E-008                                        0 
                                      30                  1.0737418230000001E+004                  2.2000000000000002E+000                  3.7298698742554546E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1222                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.0368163109070775E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999881949997E-001                  2.0368163109070775E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.3206939568445115E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.3206939568445115E+000                  3.7242429413449121E+000                  2.9169502207146873E+001                  1.4649290177218723E+000                  8.0663178703560978E-001                  3.1672267340541196E+000                  1.4696933667482874E+003                  6.4200340472529938E+000                 -1.1273360021320924E+000                  1.3425057180212960E+001                  4.1895985105988277E-002                  6.1393612363401073E-001                  8.5660496627251248E-001                  1.2761332566167032E+000                  7.1319999999991224E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508016E-003                  7.1319999999999606E-001                  2.7997020236474879E-001                  1.1719403426672765E-003                  3.1893793993508020E-003                  1.5690399999999867E+000                  6.1593444520244767E-001                  2.9797635255406075E-005                  3.4351653191742166E-004                  7.0890830411750316E-004                  1.3862554219469128E-003                 -7.3206939568445115E+000                 -2.2126775317233964E+001                 -9.8999999999999986E+001                  1.2581378810345093E+001                  1.7348043948086567E+002                 -5.4164401555993962E-008                                        0 
                                      35                  9.5828791709780286E+004                  2.2000000000000002E+000                  4.3677301119778571E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1240                  0.0000000000000000E+000                  9.9999999928825001E-001                  9.4035744706038607E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999928825001E-001                  9.4035744706038607E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.4980534017535350E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.4980534017535350E+000                  3.7297335393655189E+000                  2.1354853915091667E+001                  1.3294966048386292E+000                  7.2793438455277348E-001                  3.3246215390197924E+000                  2.1116480661470437E+003                  6.4911024511007547E+000                 -8.8118702315449737E-001                  1.3742107329237090E+001                  4.2968843247121594E-002                  6.1392355662441545E-001                  8.5660496627160032E-001                  1.2761332566196735E+000                  7.1319999999717631E-001                  2.7997020236474890E-001                  1.1719403426672774E-003                  3.1893793993508007E-003                  7.1319999999989592E-001                  2.7997020236474879E-001                  1.1719403426672765E-003                  3.1893793993508024E-003                  1.5690399999995348E+000                  6.1593444520244767E-001                  2.9797635355246455E-005                  3.4351653191742166E-004                  7.0890830411750251E-004                  1.3862554219469135E-003                 -6.4980534017535749E+000                 -1.9534519374595906E+001                 -9.8999999999999986E+001                  1.6519692138588361E+001                  2.4768517877972502E+002                 -2.7409329964676265E-008                                        0 
                                      40                  2.6472048125439876E+005                  2.2000000000000002E+000                  4.6247437416124768E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1260                  0.0000000000000000E+000                  9.9999999969450004E-001                  2.7467239622890338E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999969450004E-001                  2.7467239622890338E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6079351772519601E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6079351772519601E+000                  3.7358051722506542E+000                  1.5081199285011987E+001                  1.1784358788118181E+000                  6.4026075576909658E-001                  3.4999687965871460E+000                  3.1620504633818668E+003                  6.5657342688227791E+000                 -5.6758995282217350E-001                  1.4129893342017766E+001                  4.6031401870197101E-002                  6.1391389263200435E-001                  8.5660496626000804E-001                  1.2761332566574297E+000                  7.1319999996239969E-001                  2.7997020236474884E-001                  1.1719403426672772E-003                  3.1893793993508003E-003                  7.1319999999945294E-001                  2.7997020236474879E-001                  1.1719403426672765E-003                  3.1893793993508033E-003                  1.5690399999928359E+000                  6.1593444520244767E-001                  2.9797635797794597E-005                  3.4351653191742160E-004                  7.0890830411750262E-004                  1.3862554219469133E-003                 -5.6079351772541868E+000                 -1.6898082136124732E+001                 -9.8999999999999986E+001                  2.2374508459850283E+001                  3.6830826164131645E+002                 -1.1841084952795948E-008                                        0 
