                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20220414"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              surface_he3                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                                 delta_nu                                   nu_max                        v_div_csound_surf                              num_retries 
                                       1                  1.0000000000000001E-005                  2.2000000000000002E+000                 -4.9999999999999991E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1202                  0.0000000000000000E+000                  9.9999998953239011E-001                  3.4915504168120379E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998953239011E-001                  3.4915504168120379E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6692508037939433E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6692508037939433E+000                  3.7331293540307162E+000                  5.5082931889590959E+001                  1.7410170483166099E+000                  9.2690297696136936E-001                  2.9266843542026004E+000                  8.4466471859123783E+002                  6.2992239038740223E+000                 -1.4837728774784025E+000                  1.2949737428185868E+001                  4.1629573869262561E-002                  6.1115327328421221E-001                  8.5915496627254173E-001                  1.2683817556768049E+000                  7.1829999999999994E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770689E-004                  7.1830000000000005E-001                  2.7997020236474895E-001                  2.9298508566682915E-004                  7.9734484983770787E-004                  1.5802599999999998E+000                  6.1593444520244711E-001                  2.9797635251138049E-005                  8.5879132979358233E-005                  1.7722707602938156E-004                  3.4656385548673948E-004                 -8.6692508037939433E+000                 -2.7245730640196914E+001                 -9.8999999999999986E+001                  8.3240107057780044E+000                  9.8688131750188006E+001                 -1.2368958997432995E+000                                        0 
                                       5                  3.1000000000000000E-004                  2.2000000000000002E+000                 -3.7958800173440750E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1186                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4973106177086016E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4973106177086016E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6692507964251888E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6692507964251888E+000                  3.7337492405966852E+000                  5.5397619940391678E+001                  1.7434911064439789E+000                  9.2690023289311563E-001                  2.9266898423391079E+000                  8.4467539260337026E+002                  6.2992239063768087E+000                 -1.4837728773267453E+000                  1.2949737430884563E+001                  4.1629573634202055E-002                  6.1115327328384350E-001                  8.5915496627254151E-001                  1.2683817556768051E+000                  7.1829999999999994E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770668E-004                  7.1829999999999983E-001                  2.7997020236474895E-001                  2.9298508566682894E-004                  7.9734484983770679E-004                  1.5802599999999998E+000                  6.1593444520244711E-001                  2.9797635251138011E-005                  8.5879132979358260E-005                  1.7722707602938156E-004                  3.4656385548673937E-004                 -8.6692507964251888E+000                 -2.7245730616225462E+001                 -9.8999999999999986E+001                  8.3233896547163528E+000                  9.8618972270504855E+001                 -2.1605384116882816E-003                                        0 
                                      10                  1.0230000000000001E-002                  2.2000000000000002E+000                 -2.2907300390241692E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1186                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4929956670944805E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4929956670944805E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6692504679892259E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6692504679892259E+000                  3.7330959574270346E+000                  5.5058314427420370E+001                  1.7408229116327665E+000                  9.2687270182681136E-001                  2.9267449044717164E+000                  8.4478249176973975E+002                  6.2992239359047080E+000                 -1.4837727980649182E+000                  1.2949737539735027E+001                  4.1629573336350895E-002                  6.1115327328133950E-001                  8.5915496627254184E-001                  1.2683817556768051E+000                  7.1830000000000005E-001                  2.7997020236474895E-001                  2.9298508566682899E-004                  7.9734484983770646E-004                  7.1829999999999983E-001                  2.7997020236474895E-001                  2.9298508566682899E-004                  7.9734484983770646E-004                  1.5802600000000000E+000                  6.1593444520244733E-001                  2.9797635251138005E-005                  8.5879132979358260E-005                  1.7722707602938159E-004                  3.4656385548673948E-004                 -8.6692504679892259E+000                 -2.7245729526964350E+001                 -9.8999999999999986E+001                  8.3261380492184873E+000                  9.8705687108381298E+001                 -2.8752017607722804E-005                                        0 
                                      15                  3.2767000000000002E-001                  2.2000000000000002E+000                 -7.8558006070426323E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1186                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4794602370914869E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4794602370914869E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6692392441843076E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6692392441843076E+000                  3.7330809491189445E+000                  5.5049642150901086E+001                  1.7407545001943439E+000                  9.2686851272377924E-001                  2.9267532826777809E+000                  8.4479878907574118E+002                  6.2992248811106917E+000                 -1.4837700693270504E+000                  1.2949741214482753E+001                  4.1629569921331565E-002                  6.1115327320575630E-001                  8.5915496627254173E-001                  1.2683817556768049E+000                  7.1829999999999994E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770614E-004                  7.1829999999999983E-001                  2.7997020236474895E-001                  2.9298508566682894E-004                  7.9734484983770614E-004                  1.5802599999999998E+000                  6.1593444520244711E-001                  2.9797635251137998E-005                  8.5879132979358260E-005                  1.7722707602938156E-004                  3.4656385548673937E-004                 -8.6692392441843076E+000                 -2.7245691858186976E+001                 -9.8999999999999986E+001                  8.3263260910638728E+000                  9.8709296889298528E+001                 -2.2955436494247650E-007                                        0 
                                      20                  1.0485750000000001E+001                  2.2000000000000002E+000                  7.1956991761564271E-001                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1186                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4006419660912154E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.4006419660912154E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6688750086741404E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6688750086741404E+000                  3.7330830902601213E+000                  5.5042716203772578E+001                  1.7406998569717118E+000                  9.2683690883010950E-001                  2.9268164904651202E+000                  8.4492175114506426E+002                  6.2992568840648646E+000                 -1.4836799551177526E+000                  1.2949863372416161E+001                  4.1629381576530608E-002                  6.1115327059256819E-001                  8.5915496627254206E-001                  1.2683817556768051E+000                  7.1830000000000005E-001                  2.7997020236474895E-001                  2.9298508566682899E-004                  7.9734484983770603E-004                  7.1829999999999983E-001                  2.7997020236474901E-001                  2.9298508566682899E-004                  7.9734484983770614E-004                  1.5802600000000002E+000                  6.1593444520244711E-001                  2.9797635251138167E-005                  8.5879132979358274E-005                  1.7722707602938159E-004                  3.4656385548673943E-004                 -8.6688750086741404E+000                 -2.7244430338234334E+001                 -9.8999999999999986E+001                  8.3272349843724101E+000                  9.8723420853643461E+001                 -1.7460610410119598E-007                                        0 
                                      25                  3.3554431000000000E+002                  2.2000000000000002E+000                  2.2247198959355483E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1186                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.9365592202120670E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.9365592202120670E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.6572938936338204E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.6572938936338204E+000                  3.7331526008077307E+000                  5.4824230704708349E+001                  1.7389725463587868E+000                  9.2583423242842844E-001                  2.9288218432684827E+000                  8.4883219478444164E+002                  6.3002798919684437E+000                 -1.4808016369727566E+000                  1.2953766015538097E+001                  4.1623288649492947E-002                  6.1115318715826261E-001                  8.5915496627254173E-001                  1.2683817556768051E+000                  7.1829999999999983E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770549E-004                  7.1829999999999994E-001                  2.7997020236474895E-001                  2.9298508566682899E-004                  7.9734484983770581E-004                  1.5802600000000002E+000                  6.1593444520244733E-001                  2.9797635251144425E-005                  8.5879132979358260E-005                  1.7722707602938159E-004                  3.4656385548673943E-004                 -8.6572938936338204E+000                 -2.7204364117960242E+001                 -9.8999999999999986E+001                  8.3561193502678321E+000                  9.9172393093957751E+001                 -1.7297761661112208E-007                                        0 
                                      30                  1.0063618861249284E+004                  2.2000000000000002E+000                  3.6716272483782437E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1189                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.4245801601572222E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.4245801601572222E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.3500674645416773E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.3500674645416773E+000                  3.7350064659177766E+000                  4.9261669101227653E+001                  1.6925091226710183E+000                  8.9889479036445341E-001                  2.9827007273964323E+000                  9.6094985901433574E+002                  6.3272159338603773E+000                 -1.4018466668569078E+000                  1.3059672968262305E+001                  4.1564127871159047E-002                  6.1115115562616062E-001                  8.5915496627253951E-001                  1.2683817556768133E+000                  7.1829999999999250E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770538E-004                  7.1829999999999938E-001                  2.7997020236474895E-001                  2.9298508566682894E-004                  7.9734484983770549E-004                  1.5802599999999984E+000                  6.1593444520244711E-001                  2.9797635251533278E-005                  8.5879132979358260E-005                  1.7722707602938156E-004                  3.4656385548673932E-004                 -8.3500674645416773E+000                 -2.6170478694309796E+001                 -9.8999999999999986E+001                  9.1704769919619142E+000                  1.1203216913485664E+002                 -1.3853358708491619E-007                                        0 
                                      35                  5.6459558737457017E+004                  2.2000000000000002E+000                  4.0785540183732163E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1204                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.1210042411235976E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.1210042411235976E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.3987014588794278E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -7.3987014588794278E+000                  3.7407463080730876E+000                  3.4844443910611496E+001                  1.5421335379194843E+000                  8.1222731367806367E-001                  3.1560356807692118E+000                  1.4323055698111411E+003                  6.4053502625907441E+000                 -1.1303834542470703E+000                  1.3409072635400438E+001                  4.2763385583567827E-002                  6.1114662394328223E-001                  8.5915496627247689E-001                  1.2683817556770149E+000                  7.1829999999980432E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770549E-004                  7.1829999999999361E-001                  2.7997020236474901E-001                  2.9298508566682894E-004                  7.9734484983770494E-004                  1.5802599999999707E+000                  6.1593444520244711E-001                  2.9797635257297791E-005                  8.5879132979358260E-005                  1.7722707602938159E-004                  3.4656385548673937E-004                 -7.3987014588794286E+000                 -2.3144089382126555E+001                 -9.8999999999999986E+001                  1.2366277904359102E+001                  1.6588525206518426E+002                 -6.4718782814818288E-008                                        0 
                                      40                  1.4292712367305215E+005                  2.2000000000000002E+000                  4.3343860626469164E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                                     1226                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.0106836544462129E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.0106836544462129E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.4599409671067143E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.4599409671067143E+000                  3.7466073448731652E+000                  2.4509187562112203E+001                  1.3893289153671544E+000                  7.2410292880174476E-001                  3.3322844505218496E+000                  2.1492377027421931E+003                  6.4816212983699488E+000                 -8.1489057067562121E-001                  1.3800401304394622E+001                  4.5705171175081639E-002                  6.1114334455652353E-001                  8.5915496627160171E-001                  1.2683817556798314E+000                  7.1829999999717864E-001                  2.7997020236474890E-001                  2.9298508566682894E-004                  7.9734484983770538E-004                  7.1829999999997174E-001                  2.7997020236474901E-001                  2.9298508566682899E-004                  7.9734484983770527E-004                  1.5802599999994991E+000                  6.1593444520244733E-001                  2.9797635279205627E-005                  8.5879132979358260E-005                  1.7722707602938159E-004                  3.4656385548673937E-004                 -6.4599409671067205E+000                 -2.0310248470101378E+001                 -9.8999999999999986E+001                  1.6764830626589760E+001                  2.4724415214118156E+002                 -2.7688435787753779E-008                                        0 
